1,ParadiseInn Peace Beijing Hotel,Beijing,China,4,100
2,ParadiseInn Seoul Ambassador Gangnam,Seul,South Korea,3,100
3,ParadiseInn Bangkok Ploenchit Sukhumvit Hotel,Bangkok,Thailand,3,100
4,ParadiseInn Hotel,Batam Island,Indoneia,1,0
5,ParadiseInn Resort & Spa,Phuket,Thailand,5,50
6,Hotel ParadiseInn São Sebastião,Florianopolis,Brazil,3,10
7,ParadiseInn Shanghai Hotel,Shanghai,China,3,10
8,ParadiseInn@Siam Hotel,Bangkok,Thailand,3,10
9,Hotel China,Hong Kong,Hong Kong,3,10
10,Resort ParadiseInn Maldives,Maldives Islands,Maldives,5,10
11,ParadiseInn King's Hotel,Singapore,Singapore,3,10
12,Pousada das Orquídeas,Sao Sebastiao,Brazil,2,10
13,The Hotel at the Sun,Los Angeles (CA),United States,4,10
14,Check-in Hotel and Villa,Bali,Indonesia,4,10
15,BlueSky Hostel,Paris,France,2,10
16,The Blue Sky Resort,London,United Kingdom,5,10
17,Made4You Hotel,Miami (FL),United States,2,10
18,Made For You Hotel,Miami,United States,2,10
19,Big Bang Hotel (BBH),London,United Kingdom,2,10
20,Huahin Resort and Spa,Hua Hin/Cha-am,Thailand,4,10
